Console,Game,Proper Name,Type,Hack Of,Description
GB & GBC,pokemon Brown,Pokémon Brown,ROM Hack,Pokémon Red/Blue,"One of the earliest and most famous Gen 1 ROM hacks (by Koolboyman), set in the all-new Rijon region with 100+ Pokémon, new towns, and a full post-game. A complete reimagining rather than a simple edit."
GB & GBC,pokemon Dark energy,Pokémon Dark Energy,ROM Hack,Pokémon Silver,"A story-driven Silver hack by miksy91 set in the original world of Suden, playing more like a classic JRPG (à la Final Fantasy/Chrono Trigger) than a gym-badge journey, with an Elemental Orbs plot and eight optional sidequests."
GB & GBC,pokemon green,"Pokémon Green (Pocket Monsters: Green, Japan-only; English translation)",Translation,,The original 1996 Japan-only release that launched the franchise alongside Red; later updated and reissued as Blue. A turn-based RPG played in English via a fan translation.
GB & GBC,pokemon Bronze,Pokémon Bronze,ROM Hack,Pokémon Gold,"A Gold-based hack by Freako set shortly after Gold/Silver, with new starters, a brand-new region, original story, and Fakemon."
GB & GBC,pokemon Bronze 2,Pokémon Bronze 2,ROM Hack,Pokémon Gold,"A continuation/sequel to Pokémon Bronze, again built on Gold, expanding the region and roster."
GB & GBC,pokemon Chari,Pokémon Chari,ROM Hack,Pokémon Red,"A novelty hack of Red where every Pokémon is 'Zardified' into a Charizard-themed, Fire-type creature. Companion release to Pokémon Zard."
GB & GBC,pokemon Crystal kaizo,Pokémon Crystal Kaizo,ROM Hack,Pokémon Crystal,"A brutally difficult 'kaizo' overhaul of Crystal with revamped trainer teams, higher levels, and competitive movesets aimed at hardcore players."
GB & GBC,pokemon fools gold,Pokémon Fool's Gold,ROM Hack,Pokémon Crystal,"A Crystal hack that reimagines Johto with new Fakemon, retyped Pokémon, and a fresh take on the Gen 2 adventure."
GB & GBC,pokemon obscure,Pokémon Obscure (Gold hack by Acegikmo),ROM Hack,Pokémon Gold,"A heavily customized Gold hack by Acegikmo with extensive tile, map, and sprite edits; the hero is a nose and the rival is a pig, leaning into crude, random humor."
GB & GBC,pokemon silver 97 reforged,Pokémon Silver '97: Reforged,ROM Hack,Pokémon Gold/Silver (Spaceworld '97 demo),"A hack that rebuilds the leaked 1997 Spaceworld Gold/Silver demo into a complete, polished game using the demo's beta Pokémon and graphics."
GB & GBC,pokemon Super pika land,Super Pika Land,ROM Hack,Super Mario Land,"A sprite hack of Super Mario Land turned into a Pokémon platformer starring Pikachu, with enemies replaced by Pokémon and Ash standing in for Princess Daisy."
GB & GBC,pokemon team rocket edition,Pokémon Team Rocket Edition,ROM Hack,Pokémon Red,"A Red-based hack where you play as a Team Rocket grunt instead of the hero, experiencing Kanto from the villains' side."
GB & GBC,Megaman world 5 dx,Mega Man V DX (Rockman World 5 DX),ROM Hack,Mega Man V (Game Boy),"A colorized, enhanced hack of the Game Boy game Mega Man V (Rockman World 5), a side-scrolling action-platformer."
GB & GBC,pokemon pink,Pokémon Pink,ROM Hack,Pokémon Yellow,"A parody hack of Yellow themed around Jigglypuff and the color pink, with Jigglypuff following you in place of Pikachu."
GB & GBC,pokemon zard,Pokémon Zard,ROM Hack,Pokémon Red/Blue,Companion to Pokémon Chari; a Red hack where every Pokémon becomes a Charizard variant.
GB & GBC,Grimace birthday,Grimace's Birthday,Homebrew,,An official McDonald's promotional retro platformer (2023) starring Grimace on a skateboarding birthday adventure.
GB & GBC,pokemon Christmas,Pokémon Christmas,ROM Hack,Pokémon Crystal,"A Crystal hack with a festive holiday theme, set in a wintry Christmas-themed region."
GB & GBC,pokemon gold 97 reforged,Pokémon Gold '97: Reforged,ROM Hack,Pokémon Gold/Silver (Spaceworld '97 demo),A hack that completes and polishes the leaked 1997 Spaceworld Gold demo into a full game.
GB & GBC,pokemon Orange,Pokémon Orange,ROM Hack,Pokémon Crystal,"A Crystal hack by Pia Carrot inspired by the anime's Orange Islands, with an island-hopping journey."
GB & GBC,pokemon Blue Kazio,Pokémon Blue Kaizo,ROM Hack,Pokémon Blue,A 'kaizo' difficulty hack of Pokémon Blue with much tougher trainers and battles.
GB & GBC,pokemon super gold 97,Pokémon Super Gold 97 (completed Spaceworld '97 demo),ROM Hack,Pokémon Gold/Silver (Spaceworld '97 demo),"A completed, playable version of the 1997 Spaceworld Gold/Silver demo, restoring its beta content into a full game."
GB & GBC,pokemon picross,Pokémon Picross,Prototype,,"A cancelled official Pokémon puzzle game for Game Boy Color, based on nonogram puzzles; survives only as a leaked prototype."
GB & GBC,pokemon tcg 2,Pokémon Trading Card Game 2: Here Comes Team Great Rocket! (fan translation),Translation,,"The Japan-only sequel to the Pokémon Trading Card Game GBC title, a card-battling RPG; played in English via fan translation."
GB & GBC,pokemon crystal clear,Pokémon Crystal Clear,ROM Hack,Pokémon Crystal,"An acclaimed open-world Crystal hack that lets you tackle Johto and Kanto nonlinearly, choosing your own starter, route, and gym order."
GB & GBC,pokemon prism,Pokémon Prism,ROM Hack,Pokémon Crystal,"A highly regarded Crystal hack set in the new Naljo region, adding a mining minigame, new types, and a deep original story."
GB & GBC,pokemon Crystal Legacy,Pokémon Crystal Legacy,ROM Hack,Pokémon Crystal,"A Crystal hack that retools Johto into a tighter, better-balanced and more challenging Gen 2 experience."
